Time uS,L1 current mA,L1 voltage mV,L2 current mA,L2 voltage mV,L3 current mA,L3 voltage mV,Neutral current mA,L1_RMS voltage mV,L1_RMS current mA,L1_PInst VA mVA,L1_PApp VA mVA,L1_PAct power mW,L1_PReact VAR mVAR,L1_PF PF% %,L1V_Freq Freq Hz,L2_RMS voltage mV,L2_RMS current mA,L2_PInst VA mVA,L2_PApp VA mVA,L2_PAct power mW,L2_PReact VAR mVAR,L2_PF PF% %,L2V_Freq Freq Hz,L3_RMS voltage mV,L3_RMS current mA,L3_PInst VA mVA,L3_PApp VA mVA,L3_PAct power mW,L3_PReact VAR mVAR,L3_PF PF% %,L3V_Freq Freq Hz,Tot_PInst VA mVA,Tot_PApp VA mVA,Tot_PAct power mW,Tot_PReact VAR mVAR,Neutral_RMS current mA
0,-7,23295,78,-2582,-40,-280,17,,,-163,,,,,,,,-201,,,,,,,,11,,,,,,-353,,,,
125,-79,7511,-38,-2934,38,-380,-1,,,-593,,,,,,,,111,,,,,,,,-14,,,,,,-496,,,,
250,-90,-7221,-31,-2838,-28,-418,-5,,,649,,,,,,,,87,,,,,,,,11,,,,,,747,,,,
375,-73,-21671,41,-2821,-22,-440,65,,,1581,,,,,,,,-115,,,,,,,,9,,,,,,1475,,,,
500,-89,-35918,-4,-2758,11,-377,71,,,3196,,,,,,,,11,,,,,,,,-4,,,,,,3203,,,,
625,-9,-49047,-9,-2686,-20,-336,-14,,,441,,,,,,,,24,,,,,,,,6,,,,,,471,,,,
750,-6,-62267,24,-2698,-7,-316,-47,,,373,,,,,,,,-64,,,,,,,,2,,,,,,311,,,,
875,-79,-74893,-8,-2544,-33,-303,-23,,,5916,,,,,,,,20,,,,,,,,9,,,,,,5945,,,,
1000,-35,-87000,0,-2459,2,-272,70,,,3045,,,,,,,,0,,,,,,,,0,,,,,,3045,,,,
1125,-58,-98518,-7,-2437,60,-316,98,,,5714,,,,,,,,17,,,,,,,,-18,,,,,,5713,,,,
1250,-17,-110016,-3,-2311,13,-362,-8,,,1870,,,,,,,,6,,,,,,,,-4,,,,,,1872,,,,
1375,50,-121223,4,-2148,7,-318,-9,,,-6061,,,,,,,,-8,,,,,,,,-2,,,,,,-6071,,,,
1500,-5,-132023,-20,-2222,42,-230,33,,,660,,,,,,,,44,,,,,,,,-9,,,,,,695,,,,
1625,-2,-142429,20,-2206,21,-258,44,,,284,,,,,,,,-44,,,,,,,,-5,,,,,,235,,,,
1750,-98,-152715,3,-2165,-6,-299,0,,,14966,,,,,,,,-6,,,,,,,,1,,,,,,14961,,,,
1875,-80,-163098,-18,-2123,-18,-253,-34,,,13047,,,,,,,,38,,,,,,,,4,,,,,,13089,,,,
2000,-1,-173284,2,-2084,40,-243,45,,,173,,,,,,,,-4,,,,,,,,-9,,,,,,160,,,,
